ID,CONAME,gvkey,TWITTER ACCOUNT,Account
480,BIOGEN IDEC INC,024468,@biogen,Blue
481,CORUS BANKSHARES INC,017160,,N/A
482,CENTEX CORP,002845,,N/A
483,AVALONBAY COMMUNITIES INC,029875,@AvalonBay,Green
484,ASPEN INSURANCE HOLDINGS LTD,157353,,N/A
485,DR PEPPER SNAPPLE GROUP INC,179700,@drpepper,Blue
486,GENZYME CORP,012233,@GenzymeCorp,Green
487,DOVER CORP,004058,@DoverCorp,Green
488,PLAINS EXPLORATION & PROD CO,149268,,N/A
489,ARROW ELECTRONICS INC,001773,@ArrowGlobal,Green
490,CONSTELLATION BRANDS  -CL A,002710,@CBrandsCareers,Green
491,DONNELLEY (R R) & SONS CO,004040,@rrdsupplychain,Green
492,MASTERCARD INC,160225,@MasterCard,Blue
493,AGILENT TECHNOLOGIES INC,126554,@Agilent,Green
494,AVNET INC,001919,@Avnet,Green
495,PULTEGROUP INC,008823,@PulteGroupNews,Green
496,SMUCKER (JM) CO,009777,@smuckers,Blue
497,LEGG MASON INC,006653,@leggmason,Green
498,DYNEGY INC,025495,@dynegy,Green
499,ACTAVIS PLC,027845,@Actavis,Green
500,QUEST DIAGNOSTICS INC,064166,@QuestDX,Green
501,TEMPLE-INLAND INC,010426,,N/A
502,HILLSHIRE BRANDS CO,009411,,N/A
503,OWENS-ILLINOIS INC,008215,@GlassIsLife,Green
504,EQT CORP,004430,,N/A
505,D R HORTON INC,025340,@DRHorton,Green
506,DOLLAR GENERAL CORP,004016,@DollarGeneral,Blue
507,OLD NATIONAL BANCORP,017095,@Old_National,Green
508,EMBARQ CORP,174130,,N/A
509,WESTAR ENERGY INC,006338,@WestarEnergy,Green
510,CAREFUSION CORP,183257,@CareFusion,Green
511,TOYS R US INC,010639,@ToysRUs,Green
512,CLIFFS NATURAL RESOURCES INC,003107,@CliffsNR,Green
513,DDR CORP,027780,@DDR_Corp,Blue
514,NEWALLIANCE BANCSHARES INC,156618,,N/A
515,KEMPER CORP/DE,021503,,N/A
516,VULCAN MATERIALS CO,011228,@Vulcan_Concrete,Green
517,JUNIPER NETWORKS INC,121718,@JuniperNetworks,Blue
518,GOODRICH CORP,005229,@GoodrichCorp,Green
519,FIDELITY NATL FINL FNF GROUP,165264,,N/A
520,ALLERGAN INC,015708,@Allergan,Green
521,FISERV INC,012635,@Fiserv,Blue
522,HARLEY-DAVIDSON INC,012389,@harleydavidson,Blue
523,TELEPHONE & DATA SYSTEMS INC,010411,,N/A
524,EASTMAN CHEMICAL CO,029392,@EastmanChemCo,Green
525,CABLEVISION SYS CORP  -CL A,012485,@cablevisionjobs,Green
526,MASCO CORP,007085,@MascoCorp,Green
527,NATIONAL PENN BANCSHARES INC,017070,@NationalPenn,Green
528,WESTERN DIGITAL CORP,011399,@WesternDigital,Blue
529,SMITH INTERNATIONAL INC,009772,,N/A
530,MALLINCKRODT PLC,018086,,N/A
531,SANDISK CORP,061513,@SanDisk,Blue
532,QEP RESOURCES INC,154357,,N/A
533,FIRST MIDWEST BANCORP INC,011896,@First_Midwest,Green
534,MACERICH CO,029868,@Macerich,Green
535,UGI CORP,010801,@UGI_Utilities,Green
536,ADOBE SYSTEMS INC,012540,@Adobe,Blue
537,ZIMMER HOLDINGS INC,144559,@zimmerbiomet,Green
538,RENAISSANCERE HOLDINGS LTD,061406,,N/A
539,NSTAR,002328,,N/A
540,FIRSTFED FINANCIAL CORP/CA,014129,,N/A
541,RITE AID CORP,009155,@riteaid,Blue
542,UNITED BANKSHARES INC/WV,017248,,N/A
543,ENDURANCE SPECIALTY HOLDINGS,152249,,N/A
544,VF CORP,011060,,N/A
545,YUM BRANDS INC,065417,@yumbrands,Blue
546,AVAYA INC,139662,@Avaya,Green
547,COVENTRY HEALTH CARE INC,023877,@MyCoventryCares,Green
548,ALPHA NATURAL RESOURCES INC,162448,@alphanr,Green
549,OGE ENERGY CORP,008113,@OGEEnergyCorp,Green
550,PITNEY BOWES INC,008606,@PitneyBowes,Green
551,MARRIOTT INTL INC,028930,@MarriottIntl,Blue
552,SOUTHERN UNION CO,009867,,N/A
553,TJX COMPANIES INC,011672,@TJXCo,Green
554,GAP INC,004990,@GapInc,Blue
555,NEWFIELD EXPLORATION CO,029173,@Newfield3,Green
556,CELGENE CORP,013599,@Celgene,Green
557,NORTHWEST BANCSHARES INC,030932,@NWSB,Green
558,SMITHFIELD FOODS INC,009774,@SmithfieldFoods,Green
559,TECO ENERGY INC,010277,@TECOEnergy,Green
560,WESTERN UNION CO,175263,@WesternUnion,Blue
561,OWENS CORNING,008214,@OwensCorning,Blue
562,RYDER SYSTEM INC,009299,@Ryderjobs,Green
563,APARTMENT INVST & MGMT CO,030490,@AimcoApts,Green
564,UNITED COMMUNITY BANKS INC,064794,,N/A
565,ITT CORP,005860,@ittcorp,Green
566,DUKE REALTY CORP,013510,@DukeRealty,Green
567,ALLIANCE DATA SYSTEMS CORP,143974,@AllianceData,Green
568,AMERICAN CAPITAL LTD,065345,@AmericanCapLTD,Green
569,ST JUDE MEDICAL INC,009372,@stjudemedical,Green
570,BALL CORP,001988,@BallCorpHQ,Green
571,TEXAS CAPITAL BANCSHARES INC,150306,@TXCapitalBank,Red
572,ATMOS ENERGY CORP,004383,@atmosenergy,Green
573,GREATER BAY BANCORP,061679,,N/A
574,LIFE TECHNOLOGIES CORP,118577,@thermofisher,Green
575,BROADCOM CORP  -CL A,066708,@Broadcom,Blue
576,LEAR CORP,016477,@LearCorporation,Green
577,METROPCS COMMUNICATIONS INC,160256,@MetroPCS,Blue
578,SEALED AIR CORP,009555,@Sealed_Air,Green
579,MGIC INVESTMENT CORP/WI,024379,@MGIC,Green
580,CROWN HOLDINGS INC,003619,@crowncork_jobs,Blue
581,STARBUCKS CORP,025434,@Starbucks,Blue
582,OMNICARE INC,008133,@omnicare,Green
583,MOTOROLA MOBILITY HLDGS INC,186106,@Motorola,Blue
584,FLUOR CORP,004818,@FluorCorp,Green
585,NORDSTROM INC,007922,@Nordstrom,Blue
586,NII HOLDINGS INC,140902,,N/A
587,OFG BANCORP,016981,,N/A
588,JABIL CIRCUIT INC,028195,@Jabil,Green
589,HORACE MANN EDUCATORS CORP,024678,@HoraceMann,Green
590,FEDERAL-MOGUL HOLDINGS CORP,004600,@FedMogulCorp,Green
591,PROVIDENT FINANCIAL SVCS INC,150279,@provfin,Green
592,MOHAWK INDUSTRIES INC,025119,@mhkgreenworks,Green
593,AMB PROPERTY CORP,065576,@Prologis,Green
594,JARDEN CORP,027980,,N/A
595,EASTMAN KODAK CO,004194,@Kodak,Blue
596,WYNN RESORTS LTD,149318,@WynnResortsLtd,Green
597,CAMPBELL SOUP CO,002663,@CampbellSoupCo,Blue
598,ADVANCED MICRO DEVICES,001161,@AMD,Blue
599,RADIAN GROUP INC,025895,@RadianMI,Green
600,DELPHI FINANCIAL GROUP INC,021061,,N/A
601,URS CORP,010813,@AECOM,Green
602,AUTONATION INC,009063,@AutoNation,Green
603,POGO PRODUCING CO,008655,,N/A
604,RESOLUTE FOREST PRODUCTS INC,002337,@resolutefp,Green
605,EXPEDIA INC,126296,@expediainc,Blue
606,AVON PRODUCTS,001920,@AvonInsider,Blue
607,UNITED RENTALS INC,066065,@United_Rentals,Green
608,DENBURY RESOURCES INC,020653,@Denbury,Green
609,MANPOWERGROUP,014370,@ManpowerGroup,Green
610,L BRANDS INC,006733,@L_Brands,Green
611,ARCH COAL INC,014793,@archcoal,Green
612,MDU RESOURCES GROUP INC,006867,@MDUResources,Green
613,FOREST LABORATORIES  -CL A,004843,@Actavis,Green
614,SOUTHWESTERN ENERGY CO,009904,@SWN_R2,Green
615,ZOETIS INC,013721,@Zoetis,Green
616,CVB FINANCIAL CORP,020019,,N/A
617,GLACIER BANCORP INC,016832,,N/A
618,TOLL BROTHERS INC,012395,@tollbrothersinc,Green
619,SPX CORP,005087,@SPXFlow,Green
620,GENUINE PARTS CO,005125,@NAPASpokane,Green
621,PROVIDENT BANKSHARES CORP,017030,@MandT_Bank,Green
622,CHITTENDEN CORP,016769,@PeoplesUnited,Green
623,BOSTON PRIVATE FINL HOLDINGS,029211,,N/A
624,ENERGIZER HOLDINGS INC,133367,@Energizer,Blue
625,JETBLUE AIRWAYS CORP,147305,@JetBlue,Blue
626,DOMTAR CORP,176760,@DomtarCorp,Green
627,SIRIUS XM HOLDINGS INC,030662,@SIRIUSXM,Blue
628,IRON MOUNTAIN INC,062374,@IronMountain,Green
629,NEWELL RUBBERMAID INC,007875,@nwlrubbermaid,Green
630,TEREX CORP,007991,@TerexCorp,Green
631,TRANE INC,001567,@Trane,Green
632,SMURFIT-STONE CONTAINER CORP,006242,,N/A
633,MONEYGRAM INTERNATIONAL INC,005342,@MoneyGramMe,Blue
634,HOLLYFRONTIER CORP,005667,@Holly_Frontier,Red
635,TRIAD HOSPITALS INC,120302,@CHSI_Clinics,Green
636,GLOBALSANTAFE CORP,005187,@TransoceanValue,Green
637,AFFILIATED COMPUTER SERVICES,030697,@Xerox,Blue
638,GATX CORP,004941,,N/A
639,COGNIZANT TECH SOLUTIONS,111864,@Cognizant,Blue
640,ROCK-TENN CO,029830,@WestRock,Green
641,FIRST COMMONWLTH FINL CP/PA,018241,@FinanceBetter,Green
642,HOLOGIC INC,020904,@Hologic,Green
643,CBRE GROUP INC,260774,@CBRE,Blue
644,DEAN FOODS CO,062655,@deanfoods,Green
645,COOPER INDUSTRIES PLC,003497,@ETN_Electrical,Green
646,DIAMOND OFFSHRE DRILLING INC,061409,,N/A
647,NEIMAN MARCUS INC,014007,@neimanmarcus,Blue
648,SERVICEMASTER CO,009613,@ServiceMaster,Green
649,AGCO CORP,025180,@AGCOcorp,Blue
650,PETROHAWK ENERGY CORP,121934,@bhpbilliton,Blue
651,ALEXANDRIA R E EQUITIES INC,064821,,N/A
652,ROWAN COS PLC,009258,@RowanCompanies,Green
653,PRIDE INTERNATIONAL INC,014908,@Enscoplc,Blue
654,PENTAIR PLC,008463,@Pentair,Green
655,CARMAX INC,064410,@CarMax,Blue
656,HUNTINGTON INGALLS IND INC,186310,@HIIndustries,Green
657,CF INDUSTRIES HOLDINGS INC,163946,@CFIndustries,Red
658,TIME INC,019580,@TimeInc,Green
659,PAYCHEX INC,008402,@Paychex,Green
660,UNIVERSAL HEALTH SVCS INC,011032,@UHS_Inc,Green
661,COMMUNITY BANK SYSTEM INC,016790,,N/A
662,AUTOZONE INC,023809,@autozone,Blue
663,SELECTIVE INS GROUP INC,017115,@Selective,Green
664,FIRST AMERICAN FINANCIAL CP,184899,@FirstAm,Green
665,IRWIN FINANCIAL CORP,018928,,N/A
666,NCR CORP,007648,@NCRCorporation,Green
667,RANGE RESOURCES CORP,006788,@Range_Resources,Green
668,N B T BANCORP INC,019094,@NBT_Bank,Green
669,VISTEON CORP,136648,@Visteon,Green
670,UDR INC,010894,@UDRMarketing,Green
671,LAUDER (ESTEE) COS INC -CL A,061567,@EsteeLauder,Blue
672,OHIO CASUALTY CORP,014827,,N/A
673,MCGRAW HILL FINANCIAL,007163,@MHFI,Blue
674,BORGWARNER INC,028742,@BorgWarner,Green
675,RESTAURANT BRANDS INTL INC,164471,,N/A
676,NATIONAL FUEL GAS CO,007733,,N/A
677,DARDEN RESTAURANTS INC,031846,@darden,Blue
678,FRANKLIN BANK CORP,155736,,N/A
679,OFFICE DEPOT INC,014624,@officedepot,Blue
680,KBR INC,174310,@KBRNewsroom,Green
681,LABORATORY CP OF AMER HLDGS,014960,@LABCORP,Green
682,HOSPIRA INC,160255,@Hospira_Inc,Green
683,PACWEST BANCORP,136265,,N/A
684,LIBERTY PROPERTY TRUST,030354,@LibPropTrust,Green
685,ALLEGHENY TECHNOLOGIES INC,010405,,N/A
686,MATTEL INC,007116,@Mattel,Blue
687,LEIDOS HOLDINGS INC,165123,@leidosinc,Green
688,DANA HOLDING CORP,003734,@DanaHoldingCorp,Green
689,EQUINIX INC,138743,@Equinix,Green
690,JACOBS ENGINEERING GROUP INC,006216,,N/A
691,SOLECTRON CORP,017110,,N/A
692,TRINITY INDUSTRIES,010735,@TrinityJobs,Green
693,FIRST FINL BANCORP INC/OH,017195,@BankAtFirst,Green
694,GRAHAM HOLDINGS CO,011300,@grahamholdings,Green
695,HOSPITALITY PROPERTIES TRUST,061188,,N/A
696,PNM RESOURCES INC,008807,@PNMRjobs,Green
697,EDWARDS (A G) INC,004230,,N/A
698,TECH DATA CORP,012171,@Tech_Data,Green
699,BLACK & DECKER CORP,002255,@blackanddecker,Green
700,SHERWIN-WILLIAMS CO,009667,@SherwinWilliams,Blue
701,CDW CORP,028320,@CDWCorp,Blue
702,ELECTRONIC ARTS INC,016721,@EA,Blue
703,BOYD GAMING CORP,029011,@boydgaming,Green
704,PVH CORP,008551,,N/A
705,HEALTH MANAGEMENT ASSOC,012338,,N/A
706,IAC/INTERACTIVECORP,026061,@IAC_InterActive,Red
707,ROCKWELL COLLINS INC,144066,@RockwellCollins,Green
708,ENERGEN CORP,004351,@energen,Green
709,BED BATH & BEYOND INC,025338,@BedBathBeyond,Blue
710,CIMAREX ENERGY CO,150699,,N/A
711,ROCKWELL AUTOMATION,009203,@ROKAutomation,Green
712,BLOCK H & R INC,002269,@HRBlock,Blue
713,RELIANCE STEEL & ALUMINUM CO,030671,@reliancesteelc,Red
714,STEEL DYNAMICS INC,064030,,N/A
715,ROPER INDUSTRIES INC/DE,024925,,N/A
716,ALASKA AIR GROUP INC,001230,@AlaskaAir,Blue
717,WRIGLEY (WM) JR CO,011609,,N/A
718,VECTREN CORP,005918,@VectrenIndiana,Green
719,AIRGAS INC,012950,@airgas,Green
720,CAMDEN PROPERTY TRUST,028629,@CamdenLiving,Green
721,INTUIT INC,027928,@IntuitInc,Blue
722,WESTAMERICA BANCORPORATION,014253,,N/A
723,PEPSIAMERICAS INC,005824,@pepsi_americas,Green
724,IDACORP INC,005870,@idacorp,Red
725,RALPH LAUREN CORP,064891,@RalphLauren,Blue
726,EXELIS INC,189490,@ExelisInc,Blue
727,AVERY DENNISON CORP,001913,@AveryDennison,Green
728,CENTRAL PACIFIC FINANCIAL CP,016705,,N/A
729,EXTERRAN HOLDINGS INC,065009,,N/A
730,PMI GROUP INC,031707,,N/A
731,OSHKOSH CORP,011721,,N/A
732,AECOM INC,147988,@AECOM,Green
733,STERLING BANCSHARES INC/TX,025860,,N/A
734,HARRIS CORP,005492,@HarrisCorp,Green
735,BARR PHARMACEUTICALS INC,013365,@tevapharm,Green
736,BJ SERVICES CO,022794,@BHInc,Green
737,AQUA AMERICA INC,008542,@MyAquaAmerica,Green
738,SHAW GROUP INC,029353,,N/A
739,TAYLOR CAPITAL GROUP INC,108449,@mbfinancialbank,Green
740,AFFILIATED MANAGERS GRP INC,065886,,N/A
741,PROASSURANCE CORP,024440,@ProAssurance,Green
742,PINNACLE FINL PARTNERS INC,139025,@titansbanking,Green
743,KLA-TENCOR CORP,006304,@KLATencor_Info,Green
744,O'REILLY AUTOMOTIVE INC,028180,@oreillyauto,Blue
745,OFFICEMAX INC,002290,@OfficeMax,Blue
746,ANALOG DEVICES,001632,@ADI_News,Green
747,POST HOLDINGS INC,170527,,N/A
748,PLUM CREEK TIMBER CO INC,015709,@PlumCreekTmbrCo,Red
749,COLUMBIA BANKING SYSTEM INC,025376,@ColumbiaBankNW,Green
750,NVIDIA CORP,117768,@nvidia,Blue
751,INDEPENDENT BANK CORP/MA,016889,@IndependentBank,Green
752,DILLARDS INC  -CL A,003964,@Dillards,Blue
753,LUBRIZOL CORP,006830,@LubrizolCorp,Green
754,PLATINUM UNDERWRITERS HLDG,148414,,N/A
755,WEINGARTEN REALTY INVST,011340,@WeingartenRlty,Green
756,RALCORP HOLDINGS INC,029942,@Ralcorp_Careers,Green
757,HELMERICH & PAYNE,005581,@HelmerichPayne,Green
758,HERSHEY CO,005597,@HersheyCompany,Blue
759,SUPERIOR ENERGY SERVICES INC,025509,@SuperiorEnergy,Green
760,MACK-CALI REALTY CORP,030637,@MackCaliProp,Green
761,AK STEEL HOLDING CORP,029968,,N/A
762,GRACE (W R) & CO,005250,@WRGraceCo,Green
763,NICOR INC,007904,,N/A
764,BANNER CORP,061487,@Banner_Bank,Green
765,WHOLE FOODS MARKET INC,024893,@WholeFoods,Blue
766,LIFEPOINT HOSPITALS INC,120297,@LifePointHealth,Green
767,GAMESTOP CORP,145049,@gamestopcorp,Blue
768,SIGNATURE GROUP HOLDINGS INC,016878,,N/A
769,GENERAL CABLE CORP/DE,025405,@GeneralCableNA,Green
770,REALTY INCOME CORP,030822,@RealtyIncome,Green
771,SWS GROUP INC,024547,@SWSGroupInc,Green
772,LAM RESEARCH CORP,006565,@LamResearch,Green
773,DOLE FOOD CO INC,002812,@DoleTweets,Green
774,TRONOX LTD,164363,,N/A
775,KB HOME,012689,@kbhome,Blue
776,BIOMED REALTY TRUST INC,161013,@BioMedRealty,Green
777,SABRE HOLDINGS CORP  -CL A,063766,@Sabre_Corp,Blue
778,TIMKEN CO,010581,@Timken,Green
779,DRS TECHNOLOGIES INC,003918,@drstechnologies,Green
780,JOY GLOBAL INC,013003,@joyglobalinc,Green
781,SOUTHWEST GAS CORP,009890,@SWGas,Green
782,PERRIGO CO PLC,024782,@PerrigoCompany,Green
783,CLOROX CO/DE,003121,@CloroxCo,Green
784,SCHEIN (HENRY) INC,061494,@HenrySchein,Green
785,ARTHUR J GALLAGHER & CO,004973,@AJGCORPORATE,Green
786,INTL GAME TECHNOLOGY,006097,@IGTNews,Blue
787,MERCURY GENERAL CORP,017035,@MercuryIns,Green
788,FLOWSERVE CORP,004108,@Flowserve,Green
789,SKYWEST INC,012392,@SkyWestAirlines,Green
790,GRAINGER (W W) INC,005256,@grainger,Blue
791,HOME BANCSHARES INC,164633,@MY100BANK,Green
792,USG CORP,010816,@usgcorp,Green
793,INGREDION INC,066016,@Ingredion,Green
794,FMC TECHNOLOGIES INC,142811,@FMC_Tech,Green
795,CABOT OIL & GAS CORP,020548,@CabotOG,Blue
796,HEALTH NET INC,029710,@healthnet,Green
797,HORMEL FOODS CORP,005709,@HormelFoodsCorp,Green
798,AMETEK INC,001598,@AMETEKInc,Green
799,QUANTA SERVICES INC,066446,@Quanta_Services,Green
800,S & T BANCORP INC,019570,,N/A
801,BBX CAPITAL CORP,016681,,N/A
802,BMC SOFTWARE INC,014650,@BMCSoftware,Blue
803,STIFEL FINANCIAL CORP,011770,@Stifel,Green
804,CLECO CORP,002859,@ClecoCorp,Green
805,FRONTIER FINANCIAL CORP/WA,109584,,N/A
806,CINTAS CORP,003062,@CintasCorp,Green
807,MANITOWOC CO,006994,@ManitowocCo,Green
808,CENTENE CORP,145552,@Centene,Green
809,FORTUNE BRANDS HOME & SECUR,188255,@FBHS_News,Green
810,GARMIN LTD,141459,@Garmin,Blue
811,CORELOGIC INC,012796,@CoreLogicInc,Green
812,LANDAMERICA FINANCIAL GP,024503,,N/A
813,PRESIDENTIAL LIFE CORP,014820,,N/A
814,COMMERCE GROUP INC/MA,029492,@MAPFREIns,Green
815,AVISTA CORP,011304,@AvistaUtilities,Green
816,SUNEDISON INC,060992,@SunEdison?,Green
817,BECKMAN COULTER INC,015106,@BCILifeSciences,Green
818,FIRST FINL BANKSHARES INC,029101,@First_Financial,Green
819,ENDO INTERNATIONAL PLC,063645,@ENDP,Red
820,OVERSEAS SHIPHOLDING GROUP,008210,,N/A
821,SENIOR HOUSING PPTYS TRUST,124046,,N/A
822,B/E AEROSPACE INC,021487,@beaerospacejobs,Green
823,ANCHOR BANCORP WISCONSIN INC,025570,@AnchorBank,Green
824,XYLEM INC,189491,@XylemInc,Green
825,REGENCY CENTERS CORP,029099,@regencycenters,Green
826,IMS HEALTH HOLDINGS INC,063800,@IMSHealth,Green
827,TELEFLEX INC,010407,@TeleflexInc,Green
828,REPUBLIC AIRWAYS HLDGS INC,147639,@RepublicAirways,Green
829,LEXINGTON REALTY TRUST,029052,,N/A
830,WGL HOLDINGS INC,011296,@WGLanswers,Green
831,UIL HOLDINGS CORP,010905,@UILHoldings,Green
832,UNS ENERGY CORP,010757,,N/A
833,HANESBRANDS INC,175319,@Hanes,Blue
834,LIVE NATION ENTERTAINMENT,165746,@LiveNation,Blue
835,LABRANCHE & CO INC,123097,@CowenGroupInc,Green
836,ORBITAL ATK INC,023220,@OrbitalATK,Blue
837,CIRCUIT CITY STORES INC,003054,@CircuitCityInc,Green
838,AMPHENOL CORP,014282,@amphenol,Green
839,FMC CORP,004510,@FMCCorp,Green
840,FIRST SOLAR INC,175404,@FirstSolar,Green
841,TRUSTCO BANK CORP/NY,017245,,N/A
842,BLACK HILLS CORP,002259,@blackhillscorp,Green
843,DIME COMMUNITY BANCSHARES,063135,,N/A
844,CABELAS INC,264708,@Cabelas,Blue
845,BBCN BANCORP INC,066235,,N/A
846,PATRIOT COAL CORP,178608,,N/A
847,XILINX INC,022325,@XilinxInc,Green
848,SPECTRUM BRANDS HOLDINGS INC,065459,@Spectrum_Brands,Green
849,PEOPLES ENERGY CORP,008470,@WECEnergyGroup,Green
850,HELIX ENERGY SOLUTIONS GROUP,065006,@Helix_ESG,Green
851,TOWERS WATSON & CO,029887,@towerswatson,Green
852,PERKINELMER INC,004145,@PerkinElmer,Blue
853,BEMIS CO INC,002154,@BemisCareers,Green
854,PRICE (T. ROWE) GROUP,012138,@TRowePrice,Green
855,STERLING BANCORP,117161,@SNBSays,Green
856,HASBRO INC,005518,@HasbroNews,Blue
857,CEPHALON INC,023945,@tevapharm,Green
858,WENDY'S CO,003708,@Wendys,Blue
859,PHILADELPHIA CONS HLDG CORP,028858,@PHLYINS,Green
860,LAMAR ADVERTISING CO  -CL A,063422,@LamarOOH,Green
861,DPL INC,003814,@DPLToday,Green
862,PIEDMONT NATURAL GAS CO,008577,@PiedmontNG,Green
863,TIFFANY & CO,013646,@TiffanyAndCo,Blue
864,EQUIFAX INC,004423,@Equifax,Blue
865,HOME PROPERTIES INC,030539,@HomeProperties,Green
866,ESSEX PROPERTY TRUST,030293,@EssexProperties,Green
867,SANMINA CORP,028139,@SanminaCorp,Green
868,PRICELINE GROUP INC,119314,@priceline,Blue
869,MCDERMOTT INTL INC,007152,,N/A
870,COMMERCIAL METALS,003246,,N/A
871,SEACOR HOLDINGS INC,026021,,N/A
872,MAXIM INTEGRATED PRODUCTS,014256,@Maxim_IC,Green
873,VALSPAR CORP,011096,@Valspar,Green
874,RPM INTERNATIONAL INC,008902,@RPMintl,Green
875,AMERICAN CAMPUS COMMUNITIES,161048,@americancampus,Green
876,MCCORMICK & CO INC,007146,@McCormickSpices,Green
877,DENTSPLY INTERNATL INC,013700,@DENTSPLYCaulk,Green
878,COMMSCOPE INC,065142,@CommScope,Green
879,BROWN-FORMAN  -CL B,002435,@BrownFormanJobs,Green
880,ADVANCE AUTO PARTS INC,145977,@AdvanceAuto,Blue
881,NATIONWIDE HEALTH PPTYS INC,013124,,N/A
882,EDUCATION MANAGEMENT CORP,063907,@_EDMC,Green
883,TIDEWATER INC,010565,,N/A
884,LEXMARK INTL INC  -CL A,061552,@lexmark,Green
885,SONOCO PRODUCTS CO,009815,@Sonoco_Products,Green
886,MCAFEE INC,025783,@IntelSec_Biz,Blue
887,KING PHARMACEUTICALS INC,112033,@Drugscom,Blue
888,EMPLOYERS HOLDINGS INC,176591,@EMPLOYERS_Ins,Green
889,ONE GAS INC,019517,@ONEGasInc,Green
890,MASSEY ENERGY CO,141400,@MasseyEnergy,Green
891,NAVIGATORS GROUP INC,017074,,N/A
892,NEW PLAN EXCEL REALTY TR,007852,,N/A
893,JONES LANG LASALLE INC,065108,@JLL,Green
894,FEDERAL REALTY INVESTMENT TR,004605,@FederalRealty,Green
895,BARD (C.R.) INC,002044,,N/A
896,CITRIX SYSTEMS INC,061676,@citrix,Blue
897,CINEMARK HOLDINGS INC,177108,@Cinemark,Blue
898,GREIF INC  -CL A,005338,,N/A
899,CORP OFFICE PPTYS TR INC,024825,,N/A
900,PACTIV CORP,125533,@PactivCorp,Red
901,SNAP-ON INC,009778,@Snapon_Tools,Green
902,NBTY INC,007798,@NBTYCareers,Green
903,SIGNET JEWELERS LTD,015520,,N/A
904,SALESFORCE.COM INC,157855,@salesforce,Blue
905,MONTPELIER RE HOLDINGS,148932,,N/A
906,BARNES & NOBLE INC,028924,@BNBuzz,Blue
907,VISHAY INTERTECHNOLOGY INC,011191,@VishayIndust,Green
908,BANK OF THE OZARKS INC,065106,@BankoftheOzarks,Red
909,AVAGO TECHNOLOGIES LTD,180711,@Avagotech,Green
910,NORTHWESTERN CORP,008001,@NorthWestern_MT,Green
911,MOLEX INC,007506,@MolexConnectors,Green
912,TOMPKINS FINANCIAL CORP,017240,,N/A
913,COLONIAL PROPERTIES TRUST,028900,@ColonialProp,Green
914,SYNOPSYS INC,024975,@synopsys,Green
915,BROCADE COMMUNICATIONS SYS,120774,@Brocade,Blue
916,PATTERSON-UTI ENERGY INC,029108,,N/A
917,CABOT CORP,002593,@CabotCorp,Green
918,ALTERA CORP,014324,@alteracorp,Green
919,CYTEC INDUSTRIES INC,029511,,N/A
920,CHEMTURA CORP,003607,@ChemturaIR,Green
921,MERITOR INC,065399,@Meritor_Inc,Green
922,TOWER GROUP INTL LTD,160416,,N/A
923,HARSCO CORP,005496,@HarscoCorp,Green
924,BROOKLINE BANCORP INC,105670,@brooklinebank,Red
925,TENNECO INC,010443,@TennecoJobs,Green
926,COMVERSE TECHNOLOGY INC,012884,@Comverse_Inc,Green
927,HANMI FINANCIAL CORP,031368,@hanmi_bank,Green
928,CHURCH & DWIGHT INC,003026,,N/A
929,BAUSCH & LOMB HLDGS  -REDH,002085,@BauschLomb,Green
930,APOLLO INVESTMENT CORP,266257,,N/A
931,IKON OFFICE SOLUTIONS,001246,@RicohTweets,Green
932,PARAGON OFFSHORE PLC,020967,@ParagonOffshore,Red
933,LEGGETT & PLATT INC,006649,@leggettandplatt,Red
934,SCRIPPS NETWORKS INTERACTIVE,180167,@ScrippsNet,Green
935,SIMMONS FIRST NATL CP  -CL A,019355,@simmonsfirst,Green
936,WESTERN REFINING INC,165652,@westernrefining,Red
937,AQUILA INC,011056,@blackhillscorp,Green
938,TRIUMPH GROUP INC,063876,@TriumphGroup,Green
939,BRUNSWICK CORP,002444,@BrunswickCareer,Green
940,SOUTHSIDE BANCSHARES INC,062979,@SouthsideBank1,Red
941,FOREST OIL CORP -OLD,004844,,N/A
942,WASTE CONNECTIONS INC,110732,@WasteConnection,Green
943,OIL STATES INTL INC,142260,,N/A
944,PALL CORP,008304,@PallCorporation,Green
945,NEW YORK TIMES CO  -CL A,007866,@nytimes,Blue
946,ALLETE INC,007437,,N/A
947,SIGMA-ALDRICH CORP,009699,@SigmaAldrich,Green
948,UNIT CORP,010877,,N/A
949,DST SYSTEMS INC,003707,@DSTLeadership,Green
950,DUQUESNE LIGHT HOLDINGS INC,004103,@DuquesneLight,Green
951,IPALCO ENTERPRISES INC,006178,@IPLPower,Green
952,FAMILY DOLLAR STORES,004560,@myfamilydollar,Blue
953,METAVANTE TECHNOLOGIES INC,178645,@FISGlobal,Blue
954,MARRIOTT VACATIONS WORLDWIDE,191255,@MarriottResorts,Blue
955,FOOT LOCKER INC,011584,@footlocker,Blue
956,SM ENERGY CO,026013,@SMEnergyCompany,Green
957,PACKAGING CORP OF AMERICA,128978,@packagingcorp,Green
958,CARDINAL FINANCIAL CORP,112626,@CardinalBank,Green
959,ALBEMARLE CORP,029751,@AlbemarleCorp,Green
960,BRE PROPERTIES INC,002025,@BREproperteis,Green
961,BIO-RAD LABORATORIES INC,002220,@BioRadLifeSci,Blue
962,AOL INC,183920,@AOL_Inc,Blue
963,HIGHWOODS PROPERTIES INC,030298,@HighwoodsProp,Green
